date,description,amount,type,category,account
2025-01-15,Coffee Shop,5.50,expense,Food & Dining,Checking Account
2025-01-16,Gas Station,45.00,expense,Transportation,Checking Account
2025-01-17,Salary Deposit,2500.00,income,Salary,Checking Account
2025-01-18,Grocery Store,120.75,expense,Food & Dining,Checking Account
2025-01-19,Transfer to Savings,500.00,transfer,Transfer,Savings Account
2025-01-20,Restaurant,85.50,expense,Food & Dining,Credit Card
2025-01-21,Utility Bill,150.00,expense,Utilities,Checking Account
2025-01-22,Freelance Work,800.00,income,Freelance,Checking Account
2025-01-23,Online Shopping,75.25,expense,Shopping,Credit Card
2025-01-24,Investment Dividend,125.00,income,Investment,Savings Account
